Date,Close,Volume,Open,High,Low
2024-10-21,189.07,24639390,$188.05,$189.46,$186.40
2024-10-22,189.7,29650590,$188.35,$191.5201,$186.975
2024-10-23,184.71,31937090,$188.85,$189.16,$183.69
2024-10-24,186.38,21647400,$185.25,$187.11,$183.86
2024-10-25,187.83,29362060,$187.85,$190.45,$187.53
2024-10-28,188.39,27930840,$189.565,$190.21,$188.21
2024-10-29,190.83,35690160,$188.58,$191.4599,$187.815
2024-10-30,192.73,37707550,$194.695,$195.61,$192.42
2024-10-31,186.4,75146760,$190.51,$190.60,$185.23
2024-11-01,197.93,99687850,$199.00,$200.50,$197.02
2024-11-04,195.78,38492060,$196.45,$197.33,$194.3101
2024-11-05,199.5,30564780,$196.04,$199.82,$195.99
2024-11-06,207.09,72292170,$200.01,$207.55,$199.14
2024-11-07,210.05,52878380,$207.44,$212.25,$207.19
2024-11-08,208.18,36075850,$209.72,$209.9633,$207.44
2024-11-11,206.84,35456010,$208.50,$209.65,$205.59
2024-11-12,208.91,38942920,$208.37,$209.54,$206.01
2024-11-13,214.1,46212940,$209.40,$215.09,$209.14
2024-11-14,211.48,42620310,$214.16,$215.90,$210.88
2024-11-15,202.61,86591140,$206.76,$207.34,$199.61
2024-11-18,201.7,36512470,$204.15,$204.67,$200.95
2024-11-19,204.61,31197870,$199.33,$205.30,$198.78
2024-11-20,202.88,32768990,$202.98,$203.13,$199.45
2024-11-21,198.38,58800040,$203.49,$203.49,$195.75
2024-11-22,197.12,31530840,$198.25,$199.2599,$196.75
2024-11-25,201.45,40685670,$199.28,$201.9499,$199.00
2024-11-26,207.86,41673740,$201.90,$208.00,$201.79
2024-11-27,205.74,28061640,$206.98,$207.64,$205.05
2024-11-29,207.89,24892450,$205.83,$208.20,$204.59
2024-12-02,210.71,39523190,$209.96,$212.99,$209.5101
2024-12-03,213.44,32214830,$210.31,$214.02,$209.65
2024-12-04,218.16,48745720,$215.96,$220.00,$215.75
2024-12-05,220.55,41140220,$218.03,$222.15,$217.30
2024-12-06,227.03,44178070,$220.75,$227.15,$220.60
2024-12-09,226.09,46819360,$227.21,$230.08,$225.67
2024-12-10,225.04,31199860,$226.09,$229.06,$224.2002
